Оригинальный текст,Координаты,Извлеченные сущности
"с. Терновка Ставропольской губ. (ныне с. Урожайное Левокумского р-на Ставропольского края ,  )","44.791888888888884, 44.91974444444444",с.:Терновка; губ.:Ставропольской
"с. Большие Вершинята (ныне северная часть с. Вершинята ( Кировская обл.  Уржумский р-н )),  ","57.263431, 49.893042",с.:Большие Вершинята
"слоб. Песчанка Балашовского уезда Саратовской губ. (ныне Самойловский р-н Саратовской обл. ),  ","51.308879, 43.676467",уезд:Песчанка Балашовского; губ.:Саратовской
"с. Темрянь Белевского уезда Тульской губ. (ныне Белевского р-на Тульской обл. ),  ","53.765979, 36.214453",с.:Темрянь; уезд:Белевского; губ.:Тульской
"с. Палищи Гусь-Хрустального р-на Владимирской обл.  ,  ","55.427727, 40.322602",с.:Палищи; р-на:Гусь-Хрустального; обл.:Владимирской
"с. Терсалгай (ныне Томская обл. , Кожевниковский р-н ),  ","56.382599, 83.438522",с.:Терсалгай
"г. Холмогоры (ныне село Архангельской обл. , районный центр,   )","64.22488, 41.651953",г.:Холмогоры
"о. Талабск (Залит), Псковская обл. , Псковский р-н ,  ","58.012314, 28.070124",Не найдено
"станица Ярославская (ныне Краснодарский край , Мостовский р-н ),  ","44.61115, 40.45897",станица:Ярославская
"пос.Полевский (ныне Свердловская обл. , г. Полевской ,   )","56.435999, 60.187225",пос.:Полевский
"починок Лощилко Нолинского уезда Вятской губ. , ныне Советского р-на Кировской обл.  , утрачен,   (приблизительно)","57.702565, 49.207077",уезд:Лощилко Нолинского; губ.:Вятской; р-на:Советского; обл.:Кировской
"с.Мормужино Пошехонского уезда Ярославской губ. (ныне Пошехонского р-на Ярославской обл., затоплено Рыбинским водохранилищем),   (приблизительно)","58.455219, 38.806114",с.:Мормужино; уезд:Пошехонского; губ.:Ярославской
"д. Полюжье (ныне Угличского р-на Ярославской обл. , в 2 км на З от дер. Прямиково , утрачена,  )","57.424336, 38.090286",д.:Полюжье
"с. Яновищи Псковской губ. (ныне Тверская обл. , Андреапольский р-н ,  )","56.85449, 31.506042",с.:Яновищи; губ.:Псковской
"погост Якотский Дмитровского уезда (ныне с. Якоть Дмитровского р-на Московской обл. ,  )","56.400224, 37.718468",погост:Якотский; уезд:Дмитровского
