Очищенный текст,Координаты,entities,entities_count,Извлеченные сущности,Географические_названия
"с. Терновка Ставропольской губ. (ныне с. Урожайное Левокумского р-на Ставропольского края ,  )","44.791888888888884, 44.91974444444444","[""GeoEntity(type='с.', name='Терновка')"", ""GeoEntity(type='губ.', name='Ставропольской')"", ""GeoEntity(type='с.', name='Урожайное')"", ""GeoEntity(type='р-на', name='Левокумского')"", ""GeoEntity(type='край', name='Ставропольского')""]",5,"[('с.', 'Терновка'), ('губ.', 'Ставропольской')]",['Терновка Ставропольская губы']
"с. Большие Вершинята (ныне северная часть с. Вершинята ( Кировская обл.  Уржумский р-н )),  ","57.263431, 49.893042","[""GeoEntity(type='с.', name='Большие Вершинята')"", ""GeoEntity(type='с.', name='Вершинята')"", ""GeoEntity(type='обл.', name='Кировская')"", ""GeoEntity(type='р-н', name='Уржумский')""]",4,"[('с.', 'Большие Вершинята')]",[]
"слоб. Песчанка Балашовского уезда Саратовской губ. (ныне Самойловский р-н Саратовской обл. ),  ","51.308879, 43.676467","[""GeoEntity(type='уезд', name='Песчанка Балашовского')"", ""GeoEntity(type='губ.', name='Саратовской')"", ""GeoEntity(type='р-н', name='Самойловский')"", ""GeoEntity(type='обл.', name='Саратовской')""]",4,"[('уезд', 'Песчанка Балашовского'), ('губ.', 'Саратовской')]","['Песчанка', 'Балашовский уезд', 'Саратовская']"
"с. Темрянь Белевского уезда Тульской губ. (ныне Белевского р-на Тульской обл. ),  ","53.765979, 36.214453","[""GeoEntity(type='с.', name='Темрянь')"", ""GeoEntity(type='уезд', name='Белевского')"", ""GeoEntity(type='губ.', name='Тульской')"", ""GeoEntity(type='р-на', name='Белевского')"", ""GeoEntity(type='обл.', name='Тульской')""]",5,"[('с.', 'Темрянь'), ('уезд', 'Белевского'), ('губ.', 'Тульской')]","['Темрянь Белевский уезд', 'Тульская']"
"с. Палищи Гусь-Хрустального р-на Владимирской обл.  ,  ","55.427727, 40.322602","[""GeoEntity(type='с.', name='Палищи')"", ""GeoEntity(type='р-на', name='Гусь-Хрустального')"", ""GeoEntity(type='обл.', name='Владимирской')""]",3,"[('с.', 'Палищи'), ('р-на', 'Гусь-Хрустального'), ('обл.', 'Владимирской')]","['Гусь-Хрустального р-на', 'Владимирская обл']"
"с. Терсалгай (ныне Томская обл. , Кожевниковский р-н ),  ","56.382599, 83.438522","[""GeoEntity(type='с.', name='Терсалгай')"", ""GeoEntity(type='обл.', name='Томская')"", ""GeoEntity(type='р-н', name='Кожевниковский')""]",3,"[('с.', 'Терсалгай')]",[]
"г. Холмогоры (ныне село Архангельской обл. , районный центр,   )","64.22488, 41.651953","[""GeoEntity(type='г.', name='Холмогоры')"", ""GeoEntity(type='обл.', name='Архангельской')""]",2,"[('г.', 'Холмогоры')]",['Холмогоры']
"о. Талабск (Залит), Псковская обл. , Псковский р-н ,  ","58.012314, 28.070124","[""GeoEntity(type='обл.', name='Псковская')"", ""GeoEntity(type='р-н', name='Псковский')""]",2,[],[]
"станица Ярославская (ныне Краснодарский край , Мостовский р-н ),  ","44.61115, 40.45897","[""GeoEntity(type='станица', name='Ярославская')"", ""GeoEntity(type='край', name='Краснодарский')"", ""GeoEntity(type='р-н', name='Мостовский')""]",3,"[('станица', 'Ярославская')]",['Ярославская']
"пос.Полевский (ныне Свердловская обл. , г. Полевской ,   )","56.435999, 60.187225","[""GeoEntity(type='пос.', name='Полевский')"", ""GeoEntity(type='обл.', name='Свердловская')"", ""GeoEntity(type='г.', name='Полевской')""]",3,"[('пос.', 'Полевский')]",[]
